??,Age range,Gender,Area,Frequence,Place,Value,Type,Retail Brand,Supermarket,Online channel,,,
13,40 to 60,Female,Northwest,Everyday,Specialized fruit market,Type\Freshness,Apple\Cherry\Strawberry,Pagoda\Guoduomei\Joyvio,Vanguard\Freshippo,JD\Meituan,,,
14,18 to 30,Male,Northwest,Not regularly,Online platform,Freshness\Velocity,Banana\Watermelon\Strawberry,Dole\None or Other,Vanguard\Freshippo,None or Other,,,
15,Under 18,Female,Northeast,Twice a week,Retail store in the neighborhood,Price\Freshness,Apple\Banana\Cherry,Goodfarmer,YongHui,None or Other,,,
16,18 to 30,Female,Northwest,Not regularly,Online platform,Price\Freshness,Strawberry\Mango,None or Other,Vanguard,Pinduoduo,,,
17,40 to 60,Male,Northwest,Twice a week,Fruit section of a large supermarket,Price\Freshness,Apple\Grape\Mango,Pagoda\Joyvio\Goodfarmer,Vanguard\Freshippo,JD\Meituan,,,
18,40 to 60,Male,Northwest,Twice a week,Fruit section of a large supermarket,Price\Freshness,Apple\Banana\Watermelon,XianFengsg\HUASHENG\Joytree,YongHui\Vanguard,JD\Pinduoduo,,,
19,40 to 60,Female,Northwest,Not regularly,Specialized fruit market,Price\Freshness,Apple\Grape\Peach,HUASHENG,Vanguard,JD,,,
20,Above 60,Male,North,Twice a week,Retail store in the neighborhood,Freshness\Other,Apple\Watermelon\Cherry,Pagoda\None or Other,YongHui\None or Other,Pinduoduo\Meituan,,,
21,40 to 60,Male,South,Everyday,Specialized fruit market,Price\Freshness,Apple\Orange\Mango,Pagoda,Walmart,None or Other,,,
22,18 to 30,Female,Northwest,Not regularly,Specialized fruit market,Type\Freshness,Pomegranate,Pagoda,Vanguard,JD,,,
23,Under 18,Female,Northwest,Twice a week,Retail store in the neighborhood,Price\Type,Banana\Orange\Pineapple,Dole,Vanguard,JD\Pinduoduo,,,
24,18 to 30,Male,Northwest,Twice a week,Retail store in the neighborhood,Freshness,Apple\Strawberry,None or Other,None or Other,JD\None or Other,,,
25,18 to 30,Male,Northeast,Not regularly,Fruit section of a large supermarket,Type\Freshness,Orange\Strawberry,Guoduomei,YongHui\Carrefour,JD,,,
26,Above 60,Female,Northwest,Not regularly,Retail store in the neighborhood,Price\Freshness,Apple\Strawberry\Peach,None or Other,YongHui\Freshippo,Pinduoduo\Meituan,,,
27,Under 18,Female,Northwest,Everyday,Retail store in the neighborhood,Price\Freshness,Apple\Pineapple\Cherry,Pagoda\None or Other,None or Other,None or Other,,,
28,18 to 30,Male,North,Twice a month,Retail store in the neighborhood,Price\Freshness,Orange\Watermelon\Pineapple,None or Other,YongHui\Freshippo,JD\Tmall,,,
29,18 to 30,Male,South,Twice a week,Retail store in the neighborhood,Type\Freshness,Peach\Mango,Pagoda\Joyvio,Vanguard,JD,,,
30,18 to 30,Female,South,Not regularly,Online platform,Freshness,Mango\Other,Pagoda\None or Other,Freshippo,Meituan\None or Other,,,
31,18 to 30,Male,South,Not regularly,Famous fruit chain,Type,Watermelon\Strawberry\Mango,Pagoda,Walmart\Carrefour,JD,,,
32,18 to 30,Male,South,Twice a week,Retail store in the neighborhood,Price\Type,Apple\Watermelon\Pineapple,None or Other,Carrefour\Vanguard,Meituan,,,
33,18 to 30,Female,East,Not regularly,Fruit section of a large supermarket,Price\Freshness,Apple\Strawberry\Peach,Pagoda,Walmart\Freshippo,JD\Meituan,,,
34,30 to 40,Male,Northwest,Twice a week,Retail store in the neighborhood,Type\Velocity,Watermelon\Grape\Cherry,Pagoda\XianFengsg\Joyvio,YongHui\Walmart,JD\Tmall,,,
35,40 to 60,Male,Northwest,Not regularly,Retail store in the neighborhood,Type\Velocity,Banana\Orange\Pineapple,Pagoda\Guoduomei\HUASHENG,Walmart\Lotus,Tmall\Pinduoduo,,,
36,Above 60,Male,Northeast,Once a week,Online platform,Price\Velocity,Orange\Cherry,Pagoda\Joyvio\Joytree,Walmart\Freshippo,Tmall\Pinduoduo,,,
37,30 to 40,Male,Southwest,Twice a month,Specialized fruit market,Type\Velocity,Watermelon\Pineapple,Guoduomei\Dole,Walmart\Lotus,Tmall\Pinduoduo,,,
38,30 to 40,Female,Northwest,Twice a week,Fruit section of a large supermarket,Price\Type,Apple\Orange\Strawberry,HUASHENG\Joywingmau,YongHui\Walmart,JD\Tmall,,,
39,40 to 60,Female,North,Once a week,Fruit section of a large supermarket,Price\Type,Apple\Banana\Orange,XianFengsg\Guoduomei\HUASHENG,YongHui\Walmart,Tmall\Suning,,,
40,30 to 40,Male,Northwest,Twice a week,Specialized fruit market,Type\Freshness,Apple\Orange\Pineapple,Guoduomei\Joyvio\Zespri,None or Other,JD\Tmall,,,
41,40 to 60,Male,Northwest,Twice a week,Famous fruit chain,Price\Velocity,Orange\Watermelon\Pineapple,Guoduomei\Dole,Lotus\Carrefour,Meituan,,,
42,18 to 30,Male,East,Twice a week,Retail store in the neighborhood,Type\Freshness,Watermelon\Mango\Other,None or Other,Walmart\None or Other,Tmall,,,
43,30 to 40,Female,North,Once a week,Specialized fruit market,Type\Freshness,Orange\Cherry,Pagoda\XianFengsg,Lotus\Superspecies,JD\Tmall,,,
44,40 to 60,Male,Northeast,Other,Retail store in the neighborhood,Type\Freshness,Banana\Watermelon,Joyvio\HUASHENG,YongHui\Walmart,Tmall\Pinduoduo,,,
45,40 to 60,Male,Northeast,Not regularly,Retail store in the neighborhood,Price\Type,Apple\Watermelon,XianFengsg\Guoduomei,Lotus\Superspecies,Tmall\Suning,,,
46,40 to 60,Female,Southwest,Twice a week,Specialized fruit market,Type\Freshness,Apple\Orange\Pineapple,Pagoda\XianFengsg\Guoduomei,Walmart\Freshippo,Tmall\Pinduoduo,,,
47,30 to 40,Female,Southwest,Other,Retail store in the neighborhood,Price\Type,Apple\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Walmart\Freshippo,JD\Suning,,,
48,40 to 60,Female,Northeast,Twice a month,Fruit section of a large supermarket,Price\Freshness,Banana\Orange,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,JD\Tmall,,,
49,40 to 60,Male,North,Once a week,Specialized fruit market,Other,Apple\Watermelon,XianFengsg\Joywingmau,Walmart\Carrefour,JD\Tmall,,,
50,30 to 40,Female,North,Twice a week,Retail store in the neighborhood,Price\Type,Banana\Orange\Watermelon,Pagoda\Guoduomei\Goodfarmer,Lotus\Superspecies,JD\Pinduoduo,,,
51,30 to 40,Male,Northeast,Twice a week,Retail store in the neighborhood,Price\Type,Apple\Orange,Pagoda\XianFengsg\Guoduomei,None or Other,JD\Pinduoduo,,,
52,30 to 40,Female,North,Twice a week,Other,Type\Velocity,Apple\Orange\Strawberry,Guoduomei\Joyvio\HUASHENG,Walmart\Lotus,Tmall\Suning,,,
53,30 to 40,Male,Southwest,Everyday,Specialized fruit market,Price\Freshness,Banana\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Lotus\Superspecies,JD\Tmall,,,
54,40 to 60,Male,South,Everyday,Fruit section of a large supermarket,Type\Velocity,Banana\Watermelon\Mango,Joyvio\HUASHENG\None or Other,Walmart\Lotus,Pinduoduo\Suning,,,
55,30 to 40,Female,East,Twice a week,Retail store in the neighborhood,Price\Type,Orange\Watermelon\Pomegranate,Pagoda\XianFengsg\Joyvio,Walmart\Freshippo,JD\Suning,,,
56,40 to 60,Male,Northeast,Twice a month,Specialized fruit market,Type\Velocity,Watermelon\Pineapple\Grape,Pagoda\XianFengsg\Zespri,Lotus\Superspecies,JD\Tmall,,,
57,30 to 40,Female,North,Twice a week,Specialized fruit market,Other,Banana\Grape,Pagoda\Joyvio,Walmart\Carrefour,JD\Tmall,,,
58,30 to 40,Male,Southwest,Everyday,Fruit section of a large supermarket,Type\Velocity,Banana\Orange\Watermelon,Guoduomei\Joyvio\HUASHENG,Lotus\Superspecies,Tmall\Pinduoduo,,,
59,30 to 40,Male,North,Once a week,Retail store in the neighborhood,Price\Freshness,Banana\Orange\Watermelon,Guoduomei\Joyvio,None or Other,JD\Tmall,,,
60,40 to 60,Female,Northwest,Twice a week,Specialized fruit market,Price\Freshness,Apple\Cherry\Other,Joyvio\Goodfarmer\None or Other,Walmart\Freshippo,Suning\Meituan,,,
61,30 to 40,Male,Southwest,Twice a month,Fruit section of a large supermarket,Other,Apple\Banana\Watermelon,Guoduomei\Joyvio\HUASHENG,YongHui\Walmart,Meituan,,,
62,40 to 60,Male,South,Twice a week,Specialized fruit market,Type\Freshness,Orange\Cherry,Guoduomei\Joyvio\None or Other,Walmart\Freshippo,JD\Tmall,,,
63,40 to 60,Female,Northeast,Once a week,Fruit section of a large supermarket,Other,Banana\Orange\Watermelon\Cherry,Guoduomei\Joyvio\None or Other,YongHui\Freshippo,JD\Tmall,,,
64,Above 60,Female,North,Twice a week,Retail store in the neighborhood,Type\Freshness,Pineapple\Cherry,Guoduomei\Joyvio\Zespri,Lotus\Superspecies,Pinduoduo\Suning,,,
65,40 to 60,Male,Northwest,Twice a month,Specialized fruit market,Price\Type,Banana\Orange,XianFengsg\Joyvio,Lotus\Superspecies,Tmall\Suning,,,
66,30 to 40,Male,Northwest,Once a week,Online platform,Other,Banana\Orange\Watermelon,Pagoda\XianFengsg\Joyvio,Walmart\Freshippo,Pinduoduo\Suning,,,
67,Above 60,Male,Northeast,Once a week,Specialized fruit market,Other,Banana\Grape,XianFengsg\Guoduomei\Joyvio,Walmart\Freshippo,Meituan,,,
68,Above 60,Male,North,Other,Specialized fruit market,Price\Type,Apple\Banana\Watermelon,Joyvio\HUASHENG,Walmart\Lotus,JD\Suning,,,
69,30 to 40,Male,Northwest,Other,Online platform,Price\Type,Watermelon\Pineapple,Joyvio\HUASHENG\None or Other,Walmart\Freshippo,JD\Tmall,,,
70,30 to 40,Male,Southwest,Not regularly,Famous fruit chain,Type\Velocity,Apple\Banana\Orange,Joyvio\HUASHENG\Dole,Lotus\Superspecies,JD\Tmall,,,
71,30 to 40,Female,Northeast,Once a week,Specialized fruit market,Other,Apple\Orange,Joyvio\HUASHENG,Walmart\Lotus,JD\Tmall,,,
72,30 to 40,Female,East,Once a week,Famous fruit chain,Other,Apple\Banana,Pagoda\XianFengsg\Dole,Walmart\Lotus,Meituan,,,
73,40 to 60,Male,North,Once a week,Fruit section of a large supermarket,Price\Type,Apple\Watermelon,Pagoda\XianFengsg,YongHui\Walmart,JD\Tmall,,,
74,Above 60,Female,North,Everyday,Other,Type\Freshness,Apple\Banana\Other,XianFengsg\Dole,Walmart\Lotus,JD\Suning,,,
75,30 to 40,Male,North,Twice a month,Famous fruit chain,Type\Freshness,Watermelon\Pineapple\Grape,XianFengsg\Guoduomei,Walmart\Freshippo,Meituan,,,
76,Above 60,Male,North,Once a week,Famous fruit chain,Price\Type,Apple\Banana\Other,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,JD\Pinduoduo,,,
77,30 to 40,Female,Northwest,Once a week,Online platform,Price\Type,Watermelon\Grape\Cherry,XianFengsg\Joyvio,YongHui\Freshippo,JD\Suning,,,
78,30 to 40,Male,Southwest,Twice a month,Online platform,Other,Banana\Watermelon\Strawberry,Pagoda\Guoduomei\Goodfarmer,None or Other,Meituan,,,
79,30 to 40,Male,Northwest,Other,Specialized fruit market,Price\Type,Watermelon\Pineapple,XianFengsg\Guoduomei\HUASHENG,Lotus\Carrefour,Tmall\Pinduoduo,,,
80,40 to 60,Male,South,Everyday,Retail store in the neighborhood,Price\Type,Apple\Banana\Orange,XianFengsg\Joyvio\Joytree,Walmart\Freshippo,JD\Tmall,,,
81,30 to 40,Male,Northeast,Everyday,Other,Price\Type,Orange\Cherry,Guoduomei\Joyvio\HUASHENG,Lotus\Carrefour,Meituan,,,
82,30 to 40,Male,Northwest,Everyday,Specialized fruit market,Price\Type,Apple\Orange\Pineapple,Pagoda\XianFengsg,Walmart\Freshippo,Pinduoduo\Suning,,,
83,30 to 40,Female,Northwest,Twice a week,Fruit section of a large supermarket,Other,Apple\Banana\Orange,Pagoda\XianFengsg\Joyvio,Lotus\Carrefour,Tmall\Suning,,,
84,30 to 40,Male,Southwest,Twice a month,Online platform,Other,Banana\Orange\Pineapple,XianFengsg\Guoduomei\Joyvio\Joywingmau,YongHui\Walmart,JD\Tmall,,,
85,30 to 40,Female,North,Twice a week,Specialized fruit market,Type\Freshness,Apple\Watermelon\Strawberry,Pagoda\XianFengsg\Guoduomei,None or Other,Meituan,,,
86,30 to 40,Female,Southwest,Once a week,Specialized fruit market,Other,Banana\Watermelon,Pagoda\XianFengsg\Zespri,YongHui\Walmart,JD\Tmall,,,
87,40 to 60,Male,Northwest,Other,Famous fruit chain,Type\Freshness,Apple\Banana\Grape,XianFengsg\Guoduomei,YongHui\Freshippo,JD\Tmall,,,
88,40 to 60,Male,East,Twice a week,Online platform,Price\Velocity,Apple\Watermelon,Joyvio\HUASHENG,YongHui\Freshippo,Tmall\Pinduoduo,,,
89,30 to 40,Female,Southwest,Once a week,Fruit section of a large supermarket,Price\Type,Banana\Watermelon\Other,Joyvio\HUASHENG\Dole,Lotus\Carrefour,JD\Tmall,,,
90,40 to 60,Male,South,Once a week,Retail store in the neighborhood,Price\Type,Orange\Watermelon\Pineapple,Pagoda\XianFengsg\Joyvio,YongHui\Freshippo,JD\Tmall,,,
91,30 to 40,Male,North,Twice a week,Fruit section of a large supermarket,Price\Type,Banana\Orange\Pineapple,Pagoda\Guoduomei\HUASHENG,YongHui\Vanguard,JD\Tmall,,,
92,30 to 40,Male,North,Not regularly,Fruit section of a large supermarket,Price\Type,Apple\Orange\Pineapple,Pagoda\XianFengsg\Dole,Walmart\Freshippo,Tmall\Pinduoduo,,,
93,30 to 40,Male,North,Once a week,Specialized fruit market,Price\Velocity,Apple\Orange\Strawberry,Pagoda\Joyvio\Joytree,Lotus\Superspecies,Tmall\Pinduoduo,,,
94,30 to 40,Female,North,Everyday,Specialized fruit market,Price\Type,Banana\Orange,Guoduomei\Dole,None or Other,Meituan,,,
95,30 to 40,Male,Northeast,Once a week,Other,Price\Freshness,Orange\Watermelon,Pagoda\Joyvio\Joytree,Walmart\Freshippo,Tmall\Suning,,,
96,30 to 40,Male,Northwest,Everyday,Fruit section of a large supermarket,Freshness\Velocity,Apple\Orange\Pineapple,Pagoda\XianFengsg\Guoduomei,YongHui\Walmart,JD\Suning,,,
97,30 to 40,Male,North,Everyday,Fruit section of a large supermarket,Other,Banana\Orange,Guoduomei\Dole,YongHui\Walmart,Tmall\Pinduoduo,,,
98,30 to 40,Female,Northwest,Not regularly,Specialized fruit market,Price\Type,Banana\Watermelon\Other,Pagoda\Joyvio\Goodfarmer,YongHui\Vanguard,Tmall\Pinduoduo,,,
99,30 to 40,Male,North,Once a week,Famous fruit chain,Other,Banana\Watermelon,Guoduomei\Joywingmau,Lotus\Carrefour,JD\Tmall,,,
100,40 to 60,Male,East,Twice a week,Online platform,Price\Freshness,Banana\Grape,Guoduomei\Joyvio,Walmart\Carrefour,Tmall\Pinduoduo,,,
101,40 to 60,Male,Southwest,Twice a week,Online platform,Other,Apple\Orange\Strawberry,Pagoda\XianFengsg,Walmart\Lotus,Meituan,,,
102,Above 60,Female,South,Twice a week,Retail store in the neighborhood,Type\Velocity,Banana\Orange\Watermelon\Cherry,Guoduomei\Joywingmau,Walmart\Carrefour,Tmall\Pinduoduo,,,
103,30 to 40,Male,Southwest,Twice a month,Fruit section of a large supermarket,Price\Velocity,Banana\Orange,Pagoda\Guoduomei,YongHui\Walmart,Tmall\Pinduoduo,,,
104,40 to 60,Male,South,Twice a month,Fruit section of a large supermarket,Type\Freshness,Orange\Cherry,XianFengsg\Guoduomei\HUASHENG,Walmart\Carrefour,Tmall\Pinduoduo,,,
105,30 to 40,Female,Northeast,Everyday,Retail store in the neighborhood,Price\Type,Banana\Watermelon,HUASHENG\Joywingmau,YongHui\Freshippo,JD\Tmall,,,
106,18 to 30,Male,Northwest,Twice a week,Retail store in the neighborhood,Price\Freshness,Apple\Grape\Peach,Pagoda\Guoduomei,Walmart\Freshippo,JD,,,
107,40 to 60,Male,Northwest,Once a week,Specialized fruit market,Price\Type,Banana\Orange,Pagoda\Guoduomei\HUASHENG,None or Other,JD\Tmall,,,
108,30 to 40,Female,North,Other,Specialized fruit market,Type\Velocity,Apple\Banana\Watermelon,XianFengsg\Joyvio,Walmart\Carrefour,Tmall\Pinduoduo,,,
109,40 to 60,Female,Northwest,Everyday,Retail store in the neighborhood,Price\Type,Apple\Orange\Pineapple,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,JD\Suning,,,
110,30 to 40,Female,Southwest,Twice a week,Famous fruit chain,Price\Type,Apple\Banana\Grape,Pagoda\XianFengsg\Guoduomei,Walmart\Freshippo,Tmall\Pinduoduo,,,
111,30 to 40,Male,Southwest,Twice a week,Fruit section of a large supermarket,Price\Type,Banana\Orange\Pineapple,Pagoda\XianFengsg,Walmart\Freshippo,Tmall\Pinduoduo,,,
112,30 to 40,Female,Northeast,Other,Fruit section of a large supermarket,Price\Velocity,Banana\Orange,XianFengsg\Guoduomei,Walmart\Lotus,Tmall\Suning,,,
113,30 to 40,Male,Northwest,Twice a week,Famous fruit chain,Type\Freshness,Apple\Watermelon\Mango,Pagoda\XianFengsg\Guoduomei,Walmart\Lotus,JD\Tmall,,,
114,40 to 60,Male,South,Once a week,Specialized fruit market,Price\Type,Banana\Orange\Pineapple,Pagoda\XianFengsg\Joyvio,None or Other,JD\Tmall,,,
115,30 to 40,Male,Northeast,Once a week,Specialized fruit market,Price\Type,Apple\Banana\Watermelon,Joyvio\HUASHENG,Walmart\Freshippo,JD\Pinduoduo,,,
116,30 to 40,Female,Northeast,Once a week,Online platform,Price\Freshness,Banana\Orange\Pineapple,XianFengsg\Joyvio\Goodfarmer,YongHui\Freshippo,Tmall\Suning,,,
117,30 to 40,Male,Northeast,Twice a week,Other,Type\Freshness,Apple\Banana\Watermelon,Pagoda\Joyvio\Goodfarmer,YongHui\Walmart,Tmall\Pinduoduo,,,
118,Above 60,Male,Southwest,Everyday,Other,Type\Freshness,Banana\Grape,XianFengsg\Guoduomei\HUASHENG,Lotus\Carrefour,Tmall\Pinduoduo,,,
119,30 to 40,Female,Southwest,Everyday,Specialized fruit market,Price\Type,Apple\Orange\Strawberry,Guoduomei\Dole,YongHui\Freshippo,JD\Pinduoduo,,,
120,30 to 40,Female,Northeast,Twice a month,Other,Price\Type,Orange\Watermelon\Pineapple,XianFengsg\Dole,Lotus\Carrefour,JD\Suning,,,
121,30 to 40,Male,North,Everyday,Specialized fruit market,Price\Type,Banana\Orange,XianFengsg\Dole,Walmart\Freshippo,Tmall\Pinduoduo,,,
122,30 to 40,Male,Southwest,Not regularly,Online platform,Other,Banana\Orange\Pineapple,Guoduomei\Joywingmau,YongHui\Walmart,JD\Tmall,,,
123,30 to 40,Female,Southwest,Other,Retail store in the neighborhood,Freshness\Velocity,Apple\Watermelon,Pagoda\XianFengsg\Guoduomei,Lotus\Superspecies,JD\Tmall,,,
124,30 to 40,Male,Northeast,Everyday,Online platform,Type\Freshness,Banana\Grape,XianFengsg\Joyvio\Joytree,Walmart\Carrefour,Tmall\Pinduoduo,,,
125,30 to 40,Male,North,Everyday,Other,Price\Type,Banana\Orange,Joyvio\Dole\Joywingmau,Walmart\Lotus,JD\Tmall,,,
126,30 to 40,Male,Northeast,Twice a week,Fruit section of a large supermarket,Type\Velocity,Banana\Orange\Pineapple,Pagoda\XianFengsg\Guoduomei,None or Other,JD\Suning,,,
127,30 to 40,Female,Northeast,Not regularly,Other,Type\Freshness,Apple\Watermelon\Strawberry,Joyvio\HUASHENG\None or Other,Walmart\Lotus,JD\Pinduoduo,,,
128,30 to 40,Male,North,Other,Specialized fruit market,Type\Freshness,Apple\Banana,Guoduomei\Joyvio\None or Other,Walmart\Lotus,Tmall\Pinduoduo,,,
129,30 to 40,Male,Northwest,Other,Other,Type\Freshness,Banana\Orange\Pineapple,Pagoda\XianFengsg,Walmart\Freshippo,Tmall\Pinduoduo,,,
130,30 to 40,Male,Southwest,Once a week,Other,Price\Velocity,Banana\Cherry,Pagoda\XianFengsg,Walmart\Freshippo,Tmall\Pinduoduo,,,
131,30 to 40,Male,North,Not regularly,Specialized fruit market,Type\Freshness,Banana\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Walmart\Lotus,Tmall\Pinduoduo,,,
132,40 to 60,Female,South,Other,Specialized fruit market,Type\Velocity,Banana\Orange,HUASHENG\Joywingmau,Walmart\Lotus,JD\Tmall,,,
133,40 to 60,Male,Southwest,Not regularly,Retail store in the neighborhood,Type\Freshness,Banana\Watermelon\Strawberry,XianFengsg\Guoduomei,YongHui\Walmart,JD\Pinduoduo,,,
134,30 to 40,Female,North,Twice a week,Specialized fruit market,Type\Freshness,Apple\Orange,Guoduomei\Joyvio\HUASHENG,Walmart\Carrefour,Tmall\Pinduoduo,,,
135,30 to 40,Male,North,Twice a week,Online platform,Other,Banana\Orange\Pineapple,XianFengsg\Joyvio,None or Other,Pinduoduo\Suning,,,
136,40 to 60,Male,North,Twice a week,Specialized fruit market,Type\Freshness,Apple\Watermelon\Mango,Pagoda\Guoduomei,Walmart\Lotus,Tmall\Pinduoduo,,,
137,40 to 60,Female,North,Twice a week,Retail store in the neighborhood,Price\Velocity,Banana\Orange,Guoduomei\Joyvio\Zespri,Walmart\Lotus,Tmall\Pinduoduo,,,
138,30 to 40,Male,Northeast,Once a week,Retail store in the neighborhood,Type\Velocity,Apple\Banana\Other,XianFengsg\Guoduomei\Joyvio,Lotus\Superspecies,JD\Tmall,,,
139,40 to 60,Female,Northwest,Not regularly,Other,Type\Velocity,Orange\Watermelon\Pineapple,Pagoda\XianFengsg\Joyvio,YongHui\Freshippo,Tmall\Pinduoduo,,,
140,Above 60,Male,Northwest,Twice a week,Fruit section of a large supermarket,Other,Orange\Watermelon\Pineapple,XianFengsg\Guoduomei\HUASHENG,YongHui\Freshippo,JD\Tmall,,,
141,30 to 40,Female,North,Twice a month,Online platform,Price\Type,Apple\Banana\Peach,Guoduomei\Joyvio\HUASHENG,YongHui\Freshippo,Tmall\Suning,,,
142,Above 60,Female,East,Once a week,Online platform,Type\Freshness,Apple\Banana\Orange,Pagoda\Guoduomei\HUASHENG,Walmart\Freshippo,JD\Tmall,,,
143,30 to 40,Male,Southwest,Twice a month,Specialized fruit market,Price\Type,Apple\Banana\Watermelon,Pagoda\Guoduomei\HUASHENG,Lotus\Carrefour,JD\Suning,,,
144,30 to 40,Female,Northeast,Once a week,Retail store in the neighborhood,Type\Freshness,Apple\Watermelon\Strawberry,XianFengsg\Guoduomei\HUASHENG,Lotus\Carrefour,Tmall\Pinduoduo,,,
145,40 to 60,Male,Northwest,Other,Other,Price\Type,Apple\Banana\Orange,XianFengsg\Guoduomei,YongHui\Walmart,Tmall\Pinduoduo,,,
146,40 to 60,Female,Southwest,Not regularly,Specialized fruit market,Type\Velocity,Apple\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Walmart\Freshippo,JD\Tmall,,,
147,40 to 60,Male,North,Twice a week,Fruit section of a large supermarket,Type\Freshness,Apple\Banana\Grape,Pagoda\Joyvio\Joytree,Walmart\Freshippo,Pinduoduo\Suning,,,
148,40 to 60,Male,Northeast,Twice a week,Retail store in the neighborhood,Price\Velocity,Orange\Watermelon\Pomegranate,Pagoda\XianFengsg\Guoduomei,Lotus\Carrefour,Tmall\Pinduoduo,,,
149,30 to 40,Female,North,Twice a week,Specialized fruit market,Type\Velocity,Orange\Watermelon\Peach,XianFengsg\Guoduomei,Walmart\Freshippo,Tmall\Pinduoduo,,,
150,30 to 40,Female,South,Twice a week,Online platform,Price,Grape\Strawberry\Other,Pagoda\Dole\Zespri,Freshippo,None or Other,,,
151,30 to 40,Male,Northeast,Once a week,Retail store in the neighborhood,Type\Freshness,Orange\Watermelon,Pagoda\XianFengsg\Dole,YongHui\Vanguard,JD\Tmall,,,
152,30 to 40,Male,South,Everyday,Fruit section of a large supermarket,Price\Type,Orange\Watermelon\Pineapple,XianFengsg\Guoduomei\HUASHENG,YongHui\Vanguard,JD\Suning,,,
153,30 to 40,Male,North,Once a week,Fruit section of a large supermarket,Type\Freshness,Banana\Orange\Watermelon\Cherry,XianFengsg\Guoduomei,Walmart\Freshippo,Tmall\Pinduoduo,,,
154,40 to 60,Female,Southwest,Everyday,Fruit section of a large supermarket,Price\Freshness,Apple\Banana\Grape,Guoduomei\Joyvio,YongHui\Freshippo,Tmall\Suning,,,
155,40 to 60,Female,South,Once a week,Fruit section of a large supermarket,Type\Velocity,Orange\Watermelon\Pomegranate,Pagoda\XianFengsg\Guoduomei,YongHui\Freshippo,Pinduoduo\Suning,,,
156,30 to 40,Male,Southwest,Other,Specialized fruit market,Price\Type,Orange\Watermelon\Pineapple,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,Pinduoduo\Suning,,,
157,30 to 40,Female,South,Everyday,Famous fruit chain,Type\Freshness,Orange\Watermelon,Joyvio\HUASHENG,Walmart\Freshippo,Tmall\Suning,,,
158,30 to 40,Male,North,Everyday,Specialized fruit market,Price\Type,Apple\Banana,Guoduomei\Dole,Walmart\Lotus,Pinduoduo\Suning,,,
159,30 to 40,Male,North,Everyday,Specialized fruit market,Price\Type,Banana\Orange\Pineapple,Pagoda\Guoduomei,None or Other,Pinduoduo\Suning,,,
160,Above 60,Male,Southwest,Not regularly,Retail store in the neighborhood,Type\Freshness,Banana\Orange,XianFengsg\Joyvio,Walmart\Lotus,Tmall\Pinduoduo,,,
161,40 to 60,Female,South,Twice a month,Online platform,Price\Type,Apple\Banana\Watermelon,XianFengsg\Joywingmau,None or Other,Meituan,,,
162,40 to 60,Male,Southwest,Everyday,Retail store in the neighborhood,Price\Type,Orange\Watermelon,Guoduomei\Dole,None or Other,JD\Pinduoduo,,,
